Date,Paraguay,Indonesia,EU-28,United States of America,Thailand,Mexico,Brazil,Argentina,Netherlands,Spain,Germany,Ukraine,China,Canada,Japan,Russian Federation
2019-01-02,190.5,80.33333333333333,17.56301873071264,12.934434270765204,2.0,0.5384615384615384,86.75,141.21428571428572,3.899135446685879,27.30337078651685,6.963768115942028,36.80952380952381,40.50746268656717,48.671497584541065,22.993006993006997,10.80565371024735
2019-01-03,0.0,153.33333333333334,16.546245548688496,53.56203605514315,222.57142857142856,1.4655172413793105,25.4,329.4347826086956,5.619596541786745,0.016853932584269662,5.063405797101449,24.190476190476193,30.07058823529412,53.14133986928105,18.783216783216783,10.749116607773852
2019-01-04,133.5,155.0,21.384207600133703,39.020288307528034,320.7857142857143,1.8983050847457628,45.5,44.47619047619048,6.916426512968299,3.0960451977401133,30.38405797101449,16.615384615384613,58.843373493975896,20.581526104417673,3.6783216783216783,13.113074204946995
2019-01-05,201.375,141.27959979736576,22.329415092274964,32.092064006919664,187.1875,3.0350877192982457,89.54545454545455,26.0,10.7492795389049,5.259887005649717,65.92377495462793,22.052631578947373,38.40579710144928,14.17087062652563,28.901408450704228,14.949652777777779
2019-01-06,25.625,141.27959979736576,16.385406294214793,28.27922428694901,17.523809523809526,0.1568627450980392,90.92857142857143,57.111111111111114,3.780979827089337,0.005649717514124294,28.93659420289855,25.20833333333333,38.0,26.444972288202692,15.104895104895105,8.0
2019-01-07,104.0,51.0,22.1255259098346,23.57744529045312,35.42857142857143,8.581818181818182,105.71428571428572,220.72,35.50720461095101,0.020408163265306117,47.989110707804,23.0,44.875,23.509372453137733,6.3776223776223775,11.680701754385964
2019-01-08,325.1875,141.27959979736576,29.94781268613937,11.915959252971136,133.95238095238096,0.5671641791044776,123.47058823529413,24.0,31.587896253602306,1.7040816326530612,74.27090909090909,25.0,83.63380281690141,28.810526315789474,13.143884892086332,8.422182468694096
2019-01-09,1.75,199.5,24.831311501511447,17.84111301004059,29.6,2.3015873015873014,81.0,189.3636363636364,1.6657060518731988,2.76530612244898,38.165454545454544,15.958333333333336,53.64634146341464,49.31763766959297,17.93006993006993,7.416666666666668
2019-01-10,27.8,19.0,35.914026624410646,10.43691389599318,6.75,7.904761904761906,65.53333333333333,242.32142857142856,25.853025936599426,1.010204081632653,13.556962025316455,24.0,43.76136363636363,33.427530364372465,4.062937062937063,7.342013888888888
2019-01-11,126.4,82.5,42.05518783449709,8.000266382525307,10.0,0.7096774193548387,190.75,64.24137931034483,13.844380403458214,1.2346938775510203,23.95462794918331,60.2,51.16901408450703,10.694711538461537,12.163120567375884,9.291161178509533
