Date,Algeria,France,Egypt,Japan,Malaysia,Brazil,South Africa,EU-28,United States of America,Ukraine,Spain,Rep. of Korea,Argentina,Colombia,Russian Federation,Romania,Serbia,Netherlands,Italy
2019-01-02,0.5,1.135135135135135,4.0,22.993006993006997,109.26666666666668,86.75,62.0,17.56301873071264,12.934434270765204,36.80952380952381,27.30337078651685,0.0,141.21428571428572,1.6538461538461535,10.80565371024735,3.5,0.0,3.899135446685879,4.65625
2019-01-03,0.8387096774193549,0.4324324324324325,10.0,18.783216783216783,103.8,25.4,44.235294117647065,16.546245548688496,53.56203605514315,24.190476190476193,0.016853932584269662,0.0,329.4347826086956,1.238095238095238,10.749116607773852,7.666666666666668,5.0,5.619596541786745,19.13793103448276
2019-01-04,19.545454545454547,0.6216216216216216,0.0,3.6783216783216783,65.26666666666667,45.5,24.310344827586214,21.384207600133703,39.020288307528034,16.615384615384613,3.0960451977401133,70.8994513588264,44.47619047619048,16.363636363636363,13.113074204946995,5.666666666666668,16.0,6.916426512968299,9.137931034482758
2019-01-05,25.555555555555557,0.3698630136986301,31.361702127659573,28.901408450704228,14.142857142857142,89.54545454545455,32.44444444444444,22.329415092274964,32.092064006919664,22.052631578947373,5.259887005649717,0.0,26.0,24.818181818181817,14.949652777777779,0.6666666666666666,0.0,10.7492795389049,5.875
2019-01-06,7.166666666666668,2.121621621621621,31.361702127659573,15.104895104895105,8.0,90.92857142857143,3.625,16.385406294214793,28.27922428694901,25.20833333333333,0.005649717514124294,15.0,57.111111111111114,13.363636363636365,8.0,9.0,38.0,3.780979827089337,8.517241379310345
2019-01-07,1.7878787878787878,1.0810810810810811,31.361702127659573,6.3776223776223775,73.28571428571429,105.71428571428572,1.7777777777777777,22.1255259098346,23.57744529045312,23.0,0.020408163265306117,70.8994513588264,220.72,48.27272727272727,11.680701754385964,8.875,34.0,35.50720461095101,4.827586206896552
2019-01-08,0.3548387096774194,4.4459459459459465,31.361702127659573,13.143884892086332,96.92857142857143,123.47058823529413,25.45454545454545,29.94781268613937,11.915959252971136,25.0,1.7040816326530612,70.8994513588264,24.0,19.0,8.422182468694096,1.4444444444444444,0.0,31.587896253602306,4.84375
2019-01-09,0.5161290322580645,4.864864864864865,31.361702127659573,17.93006993006993,113.42857142857143,81.0,42.083333333333336,24.831311501511447,17.84111301004059,15.958333333333336,2.76530612244898,30.0,189.3636363636364,64.63636363636364,7.416666666666668,6.5555555555555545,0.0,1.6657060518731988,37.43333333333333
2019-01-10,31.117647058823533,4.95945945945946,31.361702127659573,4.062937062937063,60.28571428571429,65.53333333333333,31.235294117647058,35.914026624410646,10.43691389599318,24.0,1.010204081632653,70.8994513588264,242.32142857142856,23.76,7.342013888888888,45.88888888888889,77.0,25.853025936599426,52.37037037037037
2019-01-11,56.23684210526316,1.351351351351351,31.361702127659573,12.163120567375884,30.357142857142854,190.75,25.1875,42.05518783449709,8.000266382525307,60.2,1.2346938775510203,70.8994513588264,64.24137931034483,39.88,9.291161178509533,57.111111111111114,90.66666666666669,13.844380403458214,17.93548387096774
2019-01-12,51.12820512820514,4.4324324324324325,31.361702127659573,27.680851063829788,13.071428571428573,50.41666666666666,25.07142857142857,28.102091702662584,40.876410474771134,13.653846153846152,2.0104166666666665,45.42857142857143,20.6,1.0,15.888111888111887,8.222222222222221,0.0,74.97406340057637,3.09375
2019-01-13,17.90909090909091,8.432432432432432,31.361702127659573,7.113636363636362,48.28571428571429,5.0,14.75,26.936781755152758,35.069396669396674,9.142857142857142,0.7083333333333334,15.8,175.7391304347826,24.52173913043478,9.573426573426572,2.888888888888889,3.333333333333333,52.90778097982709,3.8620689655172415
2019-01-14,1.2258064516129032,10.567567567567568,57.0,1.8309859154929575,82.57142857142857,68.85714285714286,15.9,28.751133094734225,8.367591734365629,85.70588235294117,2.333333333333333,10.0,76.73076923076924,37.96,7.987972508591065,2.555555555555556,5.0,10.426512968299713,23.964285714285715
2019-01-15,0.3448275862068966,2.891891891891892,10.0,9.422535211267606,75.2,77.25,14.2,29.89422715971416,8.069733811793691,30.73333333333333,1.5050505050505047,0.0,74.39285714285714,12.84,11.04070796460177,13.555555555555555,13.666666666666664,2.011527377521614,9.970588235294116
2019-01-16,0.0,0.7916666666666666,23.0,25.20422535211268,17.6,30.4375,77.4,25.127445005253755,17.288337680310853,39.76470588235294,8.616161616161616,12.0,84.57142857142857,11.346153846153848,18.170212765957448,11.0,68.0,39.27377521613833,0.08823529411764706
2019-01-17,0.0,18.94594594594595,65.0,27.901408450704228,126.86666666666666,26.4,49.1875,29.480653185462867,31.30148811099931,10.0,15.79591836734694,0.0,74.3103448275862,15.333333333333336,15.327495621716286,2.5,0.0,44.11527377521614,10.40625
2019-01-18,3.066666666666667,14.68,0.0,15.985915492957744,213.0,77.15384615384616,12.266666666666667,20.257948290647274,25.94071671629094,10.0,12.724489795918366,0.0,190.31034482758625,16.083333333333332,11.979094076655052,0.0,0.0,1.07492795389049,35.81818181818182
2019-01-19,11.176470588235292,13.68,31.361702127659573,3.6971830985915495,21.785714285714285,78.84615384615384,16.083333333333332,15.358088781158532,48.17030114226375,8.285714285714286,76.30927835051547,70.8994513588264,41.230769230769226,9.625,6.619469026548673,2.0,14.333333333333336,0.09510086455331412,18.27586206896552
2019-01-20,26.17142857142857,14.586666666666664,31.361702127659573,31.818181818181817,99.57142857142857,94.23076923076924,23.93333333333333,21.620699154424077,88.47181823171066,16.714285714285715,30.353535353535356,7.6,2.2222222222222223,7.8,11.201438848920862,4.888888888888889,8.333333333333334,0.10662824207492796,8.064516129032258
