Price T-1,content_positiveness,content_negativeness,Price
355.75,0.1316,0.095,359.75
359.75,0.15444444444444444,0.08011111111111112,361.25
361.25,0.155,0.11975,358.0
358.0,0.142625,0.057875,360.0
360.0,0.1165,0.1135,358.25
358.25,0.099375,0.093375,357.25
357.25,0.11025,0.0915,358.25
358.25,0.15749999999999995,0.0995,358.5
358.5,0.13385714285714287,0.08814285714285715,365.5
365.5,0.127,0.1165,365.0
365.0,0.12425,0.09375,366.25
366.25,0.1018,0.1056,369.75
369.75,0.12866666666666668,0.058,369.5
369.5,0.10425,0.11525,363.25
363.25,0.10033333333333333,0.08133333333333333,366.25
366.25,0.09716666666666668,0.113,363.75
363.75,0.16966666666666666,0.10266666666666667,362.5
362.5,0.12940000000000002,0.0924,357.75
357.75,0.1585,0.07133333333333335,359.75
359.75,0.1486666666666667,0.13233333333333333,368.25
368.25,0.14185714285714288,0.09757142857142856,367.5
367.5,0.133,0.055,365.25
365.25,0.1158,0.113,363.75
363.75,0.1756,0.0594,368.5
368.5,0.187,0.06366666666666666,370.75
370.75,0.15575,0.0325,369.5
369.5,0.1121,0.0953,374.5
374.5,0.08600000000000001,0.08883333333333332,375.5
375.5,0.16399999999999998,0.0778,374.25
374.25,0.0944,0.1124,378.75
378.75,0.10571428571428572,0.13057142857142856,373.5
373.5,0.14740000000000006,0.0874,368.25
368.25,0.16075,0.096,369.25
369.25,0.16624999999999998,0.1615,371.0
371.0,0.13171428571428573,0.12014285714285712,365.5
365.5,0.08800000000000001,0.08755555555555555,364.0
364.0,0.15414285714285714,0.06899999999999999,360.25
360.25,0.151,0.0615,366.75
366.75,0.10525,0.112125,375.75
375.75,0.10939999999999997,0.08499999999999999,372.75
372.75,0.163,0.06,374.75
374.75,0.1615,0.09883333333333333,372.75
372.75,0.12128571428571425,0.0922857142857143,369.5
369.5,0.11875000000000002,0.1115,365.25
365.25,0.1142,0.09699999999999999,359.75
359.75,0.127,0.11233333333333333,358.0
358.0,0.13040000000000002,0.1836,354.5
354.5,0.14116666666666666,0.09750000000000003,353.75
353.75,0.17720000000000002,0.0868,363.5
363.5,0.1615,0.15675,366.0
366.0,0.1785,0.1265,367.5
367.5,0.1381666666666667,0.13683333333333333,363.5
