Price T-1,headline_positiveness,headline_negativeness,Price
355.75,0.1638,0.1166,359.75
359.75,0.1027777777777778,0.1418888888888889,361.25
361.25,0.08775,0.0,358.0
358.0,0.0785,0.0565,360.0
360.0,0.0,0.10625,358.25
358.25,0.068,0.0,357.25
357.25,0.078125,0.05775,358.25
358.25,0.0775,0.0,358.5
358.5,0.17457142857142854,0.0,365.5
365.5,0.0905,0.05575,365.0
365.0,0.0515,0.06475,366.25
366.25,0.0,0.1254,369.75
369.75,0.031166666666666662,0.0975,369.5
369.5,0.0,0.0,363.25
363.25,0.09583333333333333,0.11583333333333334,366.25
366.25,0.046000000000000006,0.07416666666666667,363.75
363.75,0.04,0.18733333333333332,362.5
362.5,0.0654,0.131,357.75
357.75,0.0,0.051,359.75
359.75,0.0,0.0,368.25
368.25,0.10328571428571427,0.16257142857142856,367.5
367.5,0.0,0.0525,365.25
365.25,0.0696,0.0,363.75
363.75,0.0666,0.0,368.5
368.5,0.308,0.07133333333333333,370.75
370.75,0.16075,0.0,369.5
369.5,0.0,0.12,374.5
374.5,0.12183333333333335,0.17416666666666664,375.5
375.5,0.09300000000000001,0.0518,374.25
374.25,0.0666,0.1018,378.75
378.75,0.08671428571428573,0.1452857142857143,373.5
373.5,0.0,0.1036,368.25
368.25,0.041625,0.052500000000000005,369.25
369.25,0.0,0.26725,371.0
371.0,0.0,0.17457142857142854,365.5
365.5,0.0,0.1217777777777778,364.0
364.0,0.0,0.0,360.25
360.25,0.06033333333333332,0.0,366.75
366.75,0.062875,0.043875,375.75
375.75,0.1546,0.079,372.75
372.75,0.14666666666666664,0.03066666666666666,374.75
374.75,0.0,0.199,372.75
372.75,0.10542857142857144,0.07128571428571429,369.5
369.5,0.051,0.13699999999999998,365.25
365.25,0.1148,0.0688,359.75
359.75,0.0,0.12883333333333333,358.0
358.0,0.0556,0.0518,354.5
354.5,0.042,0.0,353.75
353.75,0.16019999999999998,0.0,363.5
363.5,0.0695,0.0,366.0
366.0,0.0,0.1155,367.5
367.5,0.0375,0.09566666666666668,363.5
363.5,0.11375,0.06475,361.25
361.25,0.0,0.287,358.75
358.75,0.05044444444444445,0.069,356.75
356.75,0.0225,0.0655,356.25
356.25,0.11883333333333332,0.0,355.75
355.75,0.1711111111111111,0.0,357.75
357.75,0.04228571428571428,0.09357142857142857,358.5
358.5,0.034888888888888886,0.021,357.5
357.5,0.12333333333333335,0.025666666666666667,364.25
364.25,0.0592,0.1012,367.75
367.75,0.0775,0.0,363.0
363.0,0.0,0.14166666666666666,364.75
364.75,0.0,0.12183333333333335,360.75
360.75,0.0412,0.0688,359.5
359.5,0.0786,0.1074,367.0
367.0,0.12014285714285712,0.0,366.5
366.5,0.21900000000000006,0.0,369.0
369.0,0.1532,0.0382,371.0
371.0,0.0824,0.0416,366.5
366.5,0.0975,0.0625,361.75
361.75,0.0555,0.0555,361.75
361.75,0.15444444444444447,0.056777777777777774,357.75
357.75,0.065,0.0,357.0
357.0,0.13820000000000002,0.07339999999999999,359.25
359.25,0.055714285714285716,0.06999999999999999,365.0
365.0,0.0,0.10957142857142856,359.0
359.0,0.0,0.10266666666666667,362.0
362.0,0.07239999999999999,0.1224,358.0
358.0,0.0,0.0,369.25
369.25,0.12,0.121,364.0
364.0,0.04475,0.19075,366.25
366.25,0.1397142857142857,0.019142857142857142,358.0
358.0,0.035666666666666666,0.11983333333333332,361.75
361.75,0.10800000000000001,0.07814285714285715,356.75
356.75,0.067875,0.018375,358.25
358.25,0.05171428571428571,0.078,365.25
365.25,0.0745,0.18333333333333326,360.5
360.5,0.07857142857142857,0.13285714285714287,361.75
361.75,0.062,0.0,367.75
367.75,0.08771428571428573,0.11442857142857145,367.75
367.75,0.061166666666666675,0.19866666666666666,371.5
371.5,0.1152222222222222,0.0,366.0
366.0,0.0,0.0315,372.5
372.5,0.1148,0.256,375.0
375.0,0.0,0.08766666666666667,369.5
369.5,0.15799999999999995,0.10314285714285712,371.25
371.25,0.07533333333333334,0.029,369.25
369.25,0.0372,0.111,374.25
374.25,0.0,0.0,367.0
367.0,0.0924,0.1444,372.0
372.0,0.18014285714285713,0.056428571428571425,370.5
370.5,0.0,0.0518,372.75
372.75,0.08633333333333333,0.0,373.0
373.0,0.19583333333333333,0.0,377.25
377.25,0.15033333333333332,0.04066666666666666,384.75
384.75,0.08114285714285714,0.027999999999999997,385.75
385.75,0.08533333333333333,0.131,387.75
387.75,0.0,0.0225,377.25
377.25,0.15971428571428573,0.06757142857142857,381.0
381.0,0.071875,0.044875,377.0
377.0,0.0,0.0315,379.5
379.5,0.0785,0.0525,384.0
384.0,0.0776,0.1728,375.25
375.25,0.0,0.07400000000000001,370.0
370.0,0.1318,0.18899999999999997,368.75
368.75,0.10542857142857144,0.037000000000000005,362.75
362.75,0.17375000000000002,0.067,357.75
357.75,0.0,0.09816666666666668,359.0
359.0,0.04971428571428571,0.03185714285714285,359.25
359.25,0.222875,0.034875,356.75
356.75,0.13455555555555554,0.0,359.75
359.75,0.1035,0.0,370.5
370.5,0.08,0.0,378.0
378.0,0.084,0.07216666666666667,381.75
381.75,0.0,0.11685714285714288,380.25
380.25,0.09033333333333332,0.032,382.25
382.25,0.040857142857142856,0.06499999999999999,391.75
391.75,0.04883333333333333,0.0,392.25
392.25,0.0,0.0478,376.25
376.25,0.13625,0.10300000000000001,361.0
361.0,0.04416666666666667,0.15133333333333332,365.25
365.25,0.02844444444444445,0.031000000000000007,375.0
375.0,0.0,0.0,377.0
377.0,0.0,0.0,382.5
382.5,0.16399999999999998,0.07966666666666666,391.0
391.0,0.034571428571428565,0.12657142857142858,379.75
379.75,0.15925,0.0,377.25
377.25,0.2785,0.0,368.75
368.75,0.17116666666666666,0.04933333333333333,372.75
372.75,0.08233333333333333,0.0,374.25
374.25,0.08399999999999999,0.1894,374.25
374.25,0.15860000000000002,0.1876,370.75
370.75,0.0,0.0,362.5
