Price T-1,content_positiveness,content_negativeness,Price
996.4,0.12466666666666665,0.126,1014.1
1014.1,0.15849999999999995,0.12674999999999995,1012.4
1012.4,0.1685,0.12275,995.4
995.4,0.13585714285714287,0.05842857142857144,1004.9
1004.9,0.1165,0.1135,1013.2
1013.2,0.10085714285714284,0.098,1010.1
1010.1,0.117,0.09,1039.6
1039.6,0.1393333333333333,0.10300000000000002,1044.2
1044.2,0.130625,0.08387499999999999,1067.6
1067.6,0.1398,0.0942,1074.1
1074.1,0.127,0.07283333333333332,1069.6
1069.6,0.12442857142857144,0.09642857142857142,1067.4
1067.4,0.1244,0.0712,1059.9
1059.9,0.10425,0.11525,1058.9
1058.9,0.11200000000000003,0.0976,1056.5
1056.5,0.11257142857142856,0.10742857142857144,1048.4
1048.4,0.14939999999999998,0.11800000000000001,1049.4
1049.4,0.1415,0.104,1022.6
1022.6,0.15983333333333333,0.081,1024.6
1024.6,0.1486666666666667,0.13233333333333333,1037.0
1037.0,0.13,0.105,1036.4
1036.4,0.1406,0.057,1026.6
1026.6,0.1158,0.113,1037.6
1037.6,0.1756,0.0594,1041.6
1041.6,0.18666666666666668,0.04533333333333334,1058.4
1058.4,0.13233333333333333,0.07233333333333332,1050.0
1050.0,0.11366666666666665,0.09433333333333332,1058.1
1058.1,0.08699999999999998,0.09466666666666666,1055.6
1055.6,0.1658,0.0758,1045.4
1045.4,0.08849999999999998,0.096,1061.1
1061.1,0.08574999999999999,0.1845,1043.7
1043.7,0.136,0.09833333333333334,1034.9
1034.9,0.16699999999999998,0.1145,1026.7
1026.7,0.14716666666666667,0.1075,1022.9
1022.9,0.15085714285714286,0.11285714285714285,1013.7
1013.7,0.134,0.15,1013.9
1013.9,0.14971428571428572,0.06471428571428571,1021.88
1021.88,0.14533333333333334,0.07366666666666667,1036.38
1036.38,0.095,0.1187142857142857,1051.38
1051.38,0.1045,0.09024999999999997,1036.62
1036.62,0.20875,0.07899999999999999,1036.88
1036.88,0.16433333333333333,0.09816666666666668,1037.38
1037.38,0.12114285714285715,0.08985714285714286,1025.88
1025.88,0.1235,0.1235,1021.88
1021.88,0.11742857142857145,0.1182857142857143,1010.88
1010.88,0.1392857142857143,0.11585714285714285,1006.62
1006.62,0.13040000000000002,0.1836,1006.12
1006.12,0.14040000000000002,0.08900000000000001,999.12
999.12,0.17720000000000002,0.0868,997.88
997.88,0.1615,0.15675,1000.88
1000.88,0.1482,0.1188,1000.12
1000.12,0.1381666666666667,0.13683333333333333,999.88
999.88,0.13975,0.1875,1001.88
1001.88,0.13299999999999998,0.16,999.38
999.38,0.14985714285714286,0.15128571428571427,990.62
990.62,0.11185714285714284,0.18214285714285716,975.62
975.62,0.116,0.1435,971.38
971.38,0.14450000000000002,0.09266666666666667,971.88
971.88,0.12928571428571428,0.13285714285714284,968.62
968.62,0.107125,0.0955,962.88
962.88,0.11599999999999999,0.07499999999999997,945.88
945.88,0.12,0.14075,937.62
937.62,0.22180000000000005,0.0516,937.62
937.62,0.11333333333333333,0.13783333333333336,943.62
943.62,0.1422857142857143,0.14157142857142854,940.88
