Price T-1,content_positiveness,content_negativeness,Price
9.365,0.17439999999999994,0.049,9.7
9.7,0.10571428571428572,0.075,9.51
9.51,0.14650000000000002,0.046,9.67
9.67,0.1156,0.0824,9.63
9.63,0.078,0.012,9.455
9.455,0.057399999999999986,0.0594,9.39
9.39,0.1238,0.06770000000000001,9.77
9.77,0.09766666666666668,0.045000000000000005,9.88
9.88,0.112375,0.073375,9.95
9.95,0.08900000000000001,0.05625,9.92
9.92,0.1347142857142857,0.055285714285714285,9.835
9.835,0.151,0.05128571428571428,9.82
9.82,0.1743333333333333,0.02433333333333333,9.8
9.8,0.037000000000000005,0.07200000000000001,9.93
9.93,0.282,0.008,9.84
9.84,0.1222,0.05029999999999999,9.75
9.75,0.18133333333333332,0.03266666666666667,9.81
9.81,0.107,0.051,9.765
9.765,0.11800000000000001,0.04275,9.535
9.53,0.15383333333333335,0.07291666666666667,9.535
9.535,0.10566666666666667,0.08533333333333333,9.545
9.545,0.14350000000000002,0.0465,9.485
9.485,0.14400000000000002,0.0,9.425
9.425,0.07133333333333333,0.05433333333333334,9.555
9.555,0.14666666666666664,0.08025,9.475
9.475,0.121,0.05675,9.565
9.565,0.07375000000000001,0.040999999999999995,9.485
9.485,0.11,0.0425,9.435
9.435,0.251,0.042,9.39
9.39,0.1198,0.07270000000000001,9.34
9.34,0.09699999999999999,0.0195,9.335
9.335,0.136,0.062333333333333324,9.43
9.43,0.1,0.022000000000000002,9.46
9.46,0.13049999999999998,0.0652857142857143,9.47
9.47,0.1255,0.063,9.425
9.425,0.11266666666666668,0.034666666666666665,9.355
9.355,0.0958,0.0902,9.285
9.285,0.12133333333333332,0.049,9.38
9.38,0.13366666666666666,0.042666666666666665,9.355
9.355,0.0615,0.0675,9.325
9.325,0.107,0.05,9.582
9.582,0.0455,0.0455,9.537
9.537,0.10666666666666667,0.08766666666666667,9.385
9.385,0.11908333333333332,0.08083333333333333,9.465
9.465,0.1295,0.05075,9.465
9.465,0.066,0.10625,9.825
9.825,0.1004,0.0518,9.55
9.55,0.13620000000000002,0.0874,9.675
9.675,0.12108333333333332,0.060333333333333336,9.83
9.83,0.07150000000000001,0.1245,9.915
9.915,0.1245,0.044000000000000004,9.855
9.855,0.10099999999999999,0.034,9.77
9.77,0.11199999999999999,0.08900000000000001,9.78
9.85,0.13783333333333336,0.03933333333333333,9.78
9.78,0.126,0.022000000000000002,9.805
9.805,0.1305,0.087,9.755
9.755,0.12266666666666665,0.07066666666666667,9.865
9.865,0.12392857142857143,0.0747857142857143,9.845
9.845,0.12466666666666665,0.044500000000000005,9.895
9.895,0.1202857142857143,0.06042857142857142,10.07
10.07,0.1345,0.0415,10.07
10.07,0.107,0.111,10.175
10.175,0.14155555555555555,0.06666666666666665,10.18
10.18,0.18525,0.07575000000000001,10.23
10.23,0.1209,0.0556,10.265
10.265,0.15850000000000006,0.057999999999999996,10.265
10.265,0.0983,0.06640000000000001,10.18
10.18,0.0925,0.0425,10.17
10.17,0.133,0.038,10.1
10.1,0.171,0.017,10.05
10.05,0.13233333333333333,0.06344444444444444,10.05
9.85,0.14266666666666666,0.06,9.77
9.77,0.11275,0.04475,9.605
9.605,0.16025,0.0515,9.295
9.145,0.1459090909090909,0.07172727272727274,9.135
9.135,0.13225,0.06475,9.13
9.13,0.1015,0.06875,9.355
9.355,0.16049999999999998,0.06150000000000001,9.287
9.287,0.10066666666666667,0.10033333333333333,9.6
9.6,0.12366666666666665,0.06744444444444446,9.65
9.65,0.141,0.08033333333333333,9.617
9.617,0.13833333333333336,0.04633333333333334,9.7
9.7,0.08800000000000001,0.07400000000000001,9.9
9.9,0.13483333333333333,0.08833333333333332,10.055
10.415,0.098,0.05755555555555555,10.44
10.44,0.09966666666666668,0.03866666666666666,10.63
10.63,0.1195,0.04,10.625
10.625,0.08375,0.11800000000000001,10.91
10.91,0.12081818181818185,0.07227272727272728,10.885
10.885,0.12233333333333335,0.07033333333333333,10.83
10.83,0.0945,0.081,11.055
11.055,0.152,0.067,10.91
10.91,0.1145,0.008,11.055
11.055,0.1561111111111111,0.07233333333333332,10.93
10.93,0.1748,0.047200000000000006,10.975
10.975,0.1955,0.0365,11.185
11.185,0.13625,0.06933333333333333,11.13
11.05,0.13699999999999998,0.011000000000000001,11.12
11.12,0.129,0.05175,11.045
11.045,0.151,0.06275,11.095
11.095,0.07725,0.07024999999999999,11.23
11.23,0.11607692307692305,0.06746153846153848,11.23
11.23,0.18766666666666665,0.04566666666666666,11.32
11.32,0.0906,0.0577,11.3
11.3,0.1456,0.07060000000000001,11.255
11.255,0.1202,0.0794,11.03
11.03,0.09955555555555556,0.0871111111111111,11.475
11.475,0.163,0.106,11.4
11.4,0.094,0.01875,11.52
11.52,0.157,0.049,11.37
11.37,0.10099999999999999,0.138,11.175
11.175,0.13035714285714287,0.08457142857142859,11.105
11.105,0.1055,0.073,11.255
11.255,0.14166666666666666,0.025666666666666667,11.18
11.18,0.14066666666666666,0.07066666666666667,11.29
11.29,0.0715,0.027000000000000003,11.425
11.425,0.09036363636363637,0.058272727272727275,11.59
11.59,0.16266666666666665,0.06733333333333334,11.505
11.505,0.163,0.011000000000000001,11.515
11.515,0.119,0.055833333333333325,11.61
11.61,0.1243,0.0616,11.645
11.645,0.10199999999999998,0.0722,11.72
11.72,0.15025,0.0625,11.998
11.998,0.116125,0.0625,12.015
12.015,0.09566666666666668,0.05633333333333334,11.575
11.575,0.11000000000000004,0.08225,11.5
11.5,0.09766666666666668,0.064,11.415
11.415,0.09975,0.0625,11.84
11.84,0.16675,0.02575,11.865
11.865,0.12166666666666665,0.07833333333333334,11.865
11.865,0.126625,0.08637500000000001,12.0
12.0,0.127,0.056333333333333326,11.985
11.985,0.085,0.02225,12.14
12.14,0.1335,0.0695,12.3
12.3,0.1255,0.115,12.275
12.275,0.100625,0.089125,12.315
12.315,0.13183333333333333,0.04916666666666666,12.415
12.26,0.094,0.08,12.37
12.37,0.10728571428571428,0.07685714285714286,12.49
12.385,0.105,0.027999999999999997,12.33
12.33,0.09975,0.08149999999999999,12.045
12.045,0.1045,0.0,12.145
12.145,0.11383333333333336,0.06816666666666668,12.31
12.31,0.13499999999999998,0.06592857142857142,12.25
12.25,0.09916666666666668,0.08849999999999998,12.495
12.495,0.116125,0.048875,12.34
12.34,0.14300000000000002,0.008,12.245
12.245,0.08866666666666667,0.08333333333333333,12.185
12.185,0.13216666666666665,0.08199999999999999,12.12
12.12,0.0475,0.0175,12.145
12.145,0.1536,0.0648,12.185
12.185,0.147,0.0085,12.205
12.205,0.08800000000000001,0.0635,12.3
12.3,0.0779,0.0861,12.37
12.37,0.121,0.048,12.395
12.395,0.09566666666666666,0.05666666666666665,12.33
12.33,0.14500000000000002,0.03266666666666667,12.285
12.285,0.0485,0.16949999999999998,12.395
12.395,0.13585714285714287,0.07771428571428572,12.55
12.55,0.07400000000000001,0.053,12.95
12.95,0.14600000000000002,0.03666666666666667,12.78
12.78,0.12416666666666665,0.08383333333333333,12.455
12.455,0.12092857142857145,0.08857142857142856,12.69
12.69,0.124,0.08275,12.455
12.455,0.09342857142857143,0.07671428571428572,12.68
12.68,0.14250000000000002,0.062249999999999986,12.695
12.695,0.14450000000000002,0.07400000000000001,12.64
12.64,0.12329411764705885,0.07705882352941176,12.82
12.82,0.12300000000000001,0.037000000000000005,12.805
12.805,0.1275,0.028999999999999998,12.885
