Price T-1,headline_positiveness,headline_negativeness,Price
406.38,0.0,0.135,418.0
418.0,0.10683333333333334,0.16083333333333333,425.5
425.5,0.117,0.0,423.0
423.0,0.0314,0.04,427.25
427.25,0.0,0.10625,427.0
427.0,0.10471428571428572,0.0,419.0
419.0,0.0636,0.0688,425.88
425.88,0.0,0.06475,426.25
426.25,0.1232,0.0,432.75
432.75,0.0905,0.05575,431.0
431.0,0.0,0.08633333333333333,423.5
423.5,0.0,0.15675,428.0
428.0,0.0374,0.117,433.0
433.0,0.0,0.0,427.75
427.75,0.115,0.139,424.25
424.25,0.11233333333333334,0.035666666666666666,426.12
426.12,0.06,0.2095,421.75
421.75,0.08175,0.0,414.25
414.25,0.0,0.0765,421.0
421.0,0.0,0.0,432.75
432.75,0.0,0.2845,435.25
435.25,0.07833333333333332,0.0525,430.88
430.88,0.087,0.0,423.5
423.5,0.0,0.0,430.0
430.0,0.12375,0.24825,432.75
432.75,0.0,0.0,443.5
443.5,0.0,0.10314285714285712,449.75
449.75,0.1404,0.1962,451.5
451.5,0.10333333333333332,0.08633333333333333,449.75
449.75,0.0666,0.1018,455.0
455.0,0.0,0.17475000000000002,447.75
447.75,0.0,0.17266666666666666,441.25
441.25,0.0,0.077,437.0
437.0,0.0,0.30975,441.0
441.0,0.0,0.17857142857142858,437.0
437.0,0.0,0.18266666666666667,433.0
433.0,0.0,0.0,438.75
438.75,0.0905,0.0,443.75
443.75,0.0595,0.08775,457.25
457.25,0.19325,0.034,453.5
453.5,0.14775,0.0,454.25
454.25,0.0,0.1985,458.75
458.75,0.0,0.12475,456.25
456.25,0.053000000000000005,0.2002,447.5
447.5,0.0367,0.0986,443.75
443.75,0.0,0.204,442.0
442.0,0.0556,0.0518,430.75
430.75,0.0,0.0,431.0
431.0,0.12066666666666664,0.0,436.0
436.0,0.0556,0.0,436.75
436.75,0.0,0.1155,436.75
436.75,0.0,0.17020000000000002,430.75
430.75,0.0,0.08633333333333333,426.5
426.5,0.0,0.1722,422.25
422.25,0.0555,0.1035,421.25
421.25,0.0225,0.0655,424.25
424.25,0.1426,0.0,421.25
421.25,0.045500000000000006,0.0,424.75
424.75,0.04933333333333333,0.10916666666666668,425.5
425.5,0.034888888888888886,0.021,420.75
420.75,0.113,0.046200000000000005,425.75
425.75,0.0795,0.1265,429.25
429.25,0.0775,0.0,427.25
